,brand,name,bodyType,color,fuelType,year,mileage,transmission,power,price,vehicleConfiguration,engineName,engineDisplacement,location,parse_date
492,Lexus,RX200t,jeep 5 doors,whitemixblack,GasolineMixBlack,2015.0,61000.0,AT,238.0,3610000, RX200t F Sport 4WD,8AR-FTS,2.0 LTR,"Hạ Long, Quảng Ninh, Việt Nam",2022-09-22 00:00:00
330,Mitsubishi,Outlander,jeep 5 doors,,GasolineMixBlack,2013.0,121000.0,AT,118.0,615000,PHEV 2.0 E 4WD,4B11,2.0 LTR,"Bắc Từ Liêm, Hà Nội, Việt Nam",2022-09-22 00:00:00
895,Subaru,Forester,jeep 5 doors,golden,GasolineMixBlack,,133000.0,CVT,148.0,1291000,,,,"Đông Triều, Quảng Ninh, Việt Nam",2022-09-22 03:00:00
756,Toyota,Land Cruiser Prado,jeep 5 doors,black,GasolineMixBlack,2006.0,1000.0,AT,163.0,1651000,2.7 Prado TX limited 60th special edition,2TR-FE,2.7 LTR,"Đông Triều, Quảng Ninh, Việt Nam",2022-09-22 03:00:00
994,Nissan,NV200,minivan,whitemixblack,GasolineMixBlack,2014.0,117000.0,AT,109.0,885000, 1.6 16X-3R,HR16DE,1.6 LTR,"Hạ Long, Quảng Ninh, Việt Nam",2022-09-22 04:00:00
342,Nissan,Leaf,hatchback 5 doors,whitemixblack,Electro,2017.0,126000.0,AT,,1444000,40kWh G,EM57,,"Quận 1, Thành phố Hồ Chí Minh, Việt Nam",2022-09-22 04:00:00
638,Honda,Odyssey,minivan,whitemixblack,GasolineMixBlack,2007.0,109000.0,AT,200.0,379000,2.4 absolute HDD NAVI special edition ,K24A,2.4 LTR,"Hải Phòng, Hải Phòng, Việt Nam",2022-09-22 04:00:00
297,Toyota,Sienta,minivan,black,GasolineMixBlack,2017.0,15000.0,CVT,109.0,881000,1.5 G Cuero,2NR-FKE,1.5 LTR,"Bắc Từ Liêm, Hà Nội, Việt Nam",2022-09-22 04:00:00
675,Nissan,Juke,jeep 5 doors,red,GasolineMixBlack,2011.0,124000.0,CVT,114.0,710000,1.5 15RS Urban selection,HR15DE,1.5 LTR,"Hoàng Mai, Hà Nội, Việt Nam",2022-09-22 05:00:00
762,Honda,Shuttle,station wagon,grey,GasolineMixBlack,,161000.0,Robot,110.0,881000,,,,"Móng Cái, Quảng Ninh, Việt Nam",2022-09-22 07:00:00
82,Honda,Accord,sedan,black,GasolineMixBlack,2013.0,183000.0,CVT,143.0,1261000,2.0 EX,LFA,2.0 LTR,"Hai Bà Trưng, Hà Nội, Việt Nam",2022-09-22 07:00:00
789,Mitsubishi,Eclipse Cross,jeep 5 doors,whitemixblack,GasolineMixBlack,,88000.0,CVT,150.0,1710000,,,,"Hải Phòng, Hải Phòng, Việt Nam",2022-09-22 09:00:00
869,Subaru,Forester,jeep 5 doors,whitemixblack,GasolineMixBlack,2018.0,87000.0,CVT,145.0,2451000,2.0 Advance 4WD,FB20,2.0 LTR,"Ba Đình, Hà Nội, Việt Nam",2022-09-22 10:00:00
281,Nissan,Note,hatchback 5 doors,whitemixblack,GasolineMixBlack,2017.0,45000.0,AT,79.0,1185000, 1.2 e-POWER X Black Arrow,HR12DE,1.2 LTR,"Đông Triều, Quảng Ninh, Việt Nam",2022-09-22 12:00:00
758,Honda,Stepwgn,minivan,black,GasolineMixBlack,,31000.0,CVT,150.0,2151000,,,,"Cầu Giấy, Hà Nội, Việt Nam",2022-09-22 12:00:00
540,Toyota,Land Cruiser Prado,jeep 5 doors,silver,GasolineMixBlack,2004.0,181000.0,AT,163.0,1151000,2.7 Prado TX,2TR-FE,2.7 LTR,"Bắc Từ Liêm, Hà Nội, Việt Nam",2022-09-22 12:00:00
608,Toyota,Mark X,sedan,whitemixblack,GasolineMixBlack,,134000.0,AT,203.0,1551000,,,,"Quận 8, Thành phố Hồ Chí Minh, Việt Nam",2022-09-22 12:00:00
200,Toyota,Corona,sedan,whitemixblack,GasolineMixBlack,1994.0,251000.0,AT,125.0,165000,1.8 EX saloon,4S-FE,1.8 LTR,"Hải Phòng, Hải Phòng, Việt Nam",2022-09-22 13:00:00
621,Lexus,RX350,jeep 5 doors,grey,GasolineMixBlack,,81000.0,AT,277.0,2151000,,,,"Quận 1, Thành phố Hồ Chí Minh, Việt Nam",2022-09-22 13:00:00
20,Nissan,NV200,minivan,whitemixblack,GasolineMixBlack,2014.0,172000.0,AT,109.0,1061000, 1.6 Premium GX-2R,HR16DE,1.6 LTR,"Bắc Từ Liêm, Hà Nội, Việt Nam",2022-09-22 14:00:00
680,Toyota,Prius,liftback,whitemixblack,GasolineMixBlack,2010.0,142000.0,CVT,99.0,855000,1.8 S LED edition,2ZR-FXE,1.8 LTR,"Ba Đình, Hà Nội, Việt Nam",2022-09-22 14:00:00
317,Lexus,UX200,jeep 5 doors,whitemixblack,GasolineMixBlack,2018.0,51000.0,CVT,174.0,2275000,UX200,M20A-FKS,2.0 LTR,"Ba Đình, Hà Nội, Việt Nam",2022-09-22 16:00:00
397,Honda,Fit,hatchback 5 doors,whitemixblack,GasolineMixBlack,2005.0,157000.0,CVT,86.0,385000,1.3A,L13A,1.3 LTR,"Đông Triều, Quảng Ninh, Việt Nam",2022-09-22 16:00:00
112,Toyota,Land Cruiser,jeep 5 doors,black,Diesel,2008.0,286000.0,AT,235.0,2481000,4.5 TD AT Люкс,1VD-FTV,4.5 LTR,"Uông Bí, Quảng Ninh, Việt Nam",2022-09-22 18:00:00
689,Honda,Fit,hatchback 5 doors,whitemixblack,GasolineMixBlack,,167000.0,CVT,99.0,475000,,,,"Hoàng Mai, Hà Nội, Việt Nam",2022-09-22 18:00:00
632,Toyota,Isis,minivan,grey,GasolineMixBlack,2007.0,175000.0,CVT,155.0,685000,2.0 Platana ,1AZ-FSE,2.0 LTR,"Đông Triều, Quảng Ninh, Việt Nam",2022-09-22 19:00:00
206,Toyota,Land Cruiser Prado,jeep 5 doors,whitemixblack,GasolineMixBlack,2009.0,115000.0,AT,163.0,2291000,2.7 TX 5 seat 4WD,2TR-FE,2.7 LTR,"Cầu Giấy, Hà Nội, Việt Nam",2022-09-22 20:00:00
738,Honda,Accord,sedan,black,GasolineMixBlack,2013.0,210000.0,CVT,143.0,1341000,Plug-In Hybrid 2.0 SX,LFA,2.0 LTR,"Bắc Từ Liêm, Hà Nội, Việt Nam",2022-09-22 20:00:00
15,Nissan,President,sedan,grey,GasolineMixBlack,2003.0,94000.0,AT,280.0,435000,4.5 sovereign ,VK45DE,4.5 LTR,"Hạ Long, Quảng Ninh, Việt Nam",2022-09-22 21:00:00
650,Mazda,Axela,sedan,whitemixblack,GasolineMixBlack,2005.0,204000.0,AT,114.0,361000,1.5 15C,ZY-VE,1.5 LTR,"Hạ Long, Quảng Ninh, Việt Nam",2022-09-22 21:00:00
597,Mazda,CX-3,jeep 5 doors,black,Diesel,2015.0,131000.0,AT,105.0,1051000, 1.5 XD Touring Diesel Turbo 4WD,S5-DPTS,1.5 LTR,"Ba Đình, Hà Nội, Việt Nam",2022-09-22 23:00:00
76,Toyota,Sienta,minivan,silver,GasolineMixBlack,2015.0,104000.0,CVT,103.0,993000, 1.5 X V Package 4WD (6 seater),1NZ-FE,1.5 LTR,"Ba Đình, Hà Nội, Việt Nam",2022-09-22 23:00:00
268,BMW,X5,jeep 5 doors,grey,GasolineMixBlack,2015.0,72000.0,AT,575.0,5710000,X5 M,S63B44,4.4 LTR,"Quận 1, Thành phố Hồ Chí Minh, Việt Nam",2022-09-23 00:00:00
719,Toyota,Vitz,hatchback 5 doors,grey,GasolineMixBlack,2007.0,149000.0,CVT,110.0,465000,1.5 RS,1NZ-FE,1.5 LTR,"Hải Phòng, Hải Phòng, Việt Nam",2022-09-23 01:00:00
116,Toyota,Wish,minivan,whitemixblack,GasolineMixBlack,2010.0,123000.0,CVT,144.0,975000,1.8 S,2ZR-FAE,1.8 LTR,"Ba Đình, Hà Nội, Việt Nam",2022-09-23 03:00:00
899,Toyota,Hiace,minivan,whitemixblack,Diesel,,51000.0,Automatic,136.0,2731000,,,,"Bắc Từ Liêm, Hà Nội, Việt Nam",2022-09-23 04:00:00
